p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,Target
0.0,0.0,0.12156862745098039,0.6235294117647059,1.0,0.8117647058823529,0.0,0.0,0.0,0.1843137254901961,1.0,0.4980392156862745,0.12156862745098039,1.0,0.058823529411764705,0.0,0.0,0.4980392156862745,0.8117647058823529,0.0,0.12156862745098039,1.0,0.37254901960784315,0.0,0.0,0.37254901960784315,1.0,0.7490196078431373,1.0,1.0,0.43529411764705883,0.0,0.0,0.0,0.12156862745098039,0.24705882352941178,0.4980392156862745,0.7490196078431373,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.9372549019607843,0.1843137254901961,0.0,0.0,0.0,0.0,0.0,0.5607843137254902,0.6235294117647059,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,1.0,0.1843137254901961,0.0,0.0,0.0,9
0.0,0.0,0.8117647058823529,0.8745098039215686,0.5607843137254902,0.058823529411764705,0.0,0.0,0.0,0.30980392156862746,1.0,0.7490196078431373,0.7490196078431373,0.7490196078431373,0.058823529411764705,0.0,0.0,0.37254901960784315,1.0,0.12156862745098039,0.12156862745098039,1.0,0.30980392156862746,0.0,0.0,0.1843137254901961,1.0,0.30980392156862746,0.1843137254901961,1.0,0.5607843137254902,0.0,0.0,0.0,0.5607843137254902,1.0,1.0,1.0,0.6235294117647059,0.0,0.0,0.0,0.0,0.37254901960784315,0.43529411764705883,0.9372549019607843,0.5607843137254902,0.0,0.0,0.0,0.0,0.0,0.37254901960784315,1.0,0.30980392156862746,0.0,0.0,0.0,0.6235294117647059,1.0,1.0,0.7490196078431373,0.0,0.0,9
0.0,0.0,0.37254901960784315,0.8745098039215686,1.0,0.9372549019607843,0.058823529411764705,0.0,0.0,0.5607843137254902,1.0,0.7490196078431373,0.5607843137254902,1.0,0.1843137254901961,0.0,0.0,0.7490196078431373,1.0,0.6862745098039216,0.8745098039215686,0.8117647058823529,0.0,0.0,0.0,0.43529411764705883,0.9372549019607843,1.0,0.8745098039215686,0.0,0.0,0.0,0.0,0.0,0.12156862745098039,0.4980392156862745,1.0,0.30980392156862746,0.0,0.0,0.0,0.0,0.0,0.37254901960784315,1.0,0.24705882352941178,0.0,0.0,0.0,0.0,0.12156862745098039,0.8117647058823529,0.7490196078431373,0.0,0.0,0.0,0.0,0.0,0.5607843137254902,1.0,0.058823529411764705,0.0,0.0,0.0,9
0.0,0.0,0.6862745098039216,0.8745098039215686,0.30980392156862746,0.0,0.0,0.0,0.0,0.37254901960784315,0.7490196078431373,0.24705882352941178,0.8117647058823529,0.24705882352941178,0.0,0.0,0.0,0.6235294117647059,0.6235294117647059,0.0,0.24705882352941178,0.8745098039215686,0.0,0.0,0.0,0.43529411764705883,0.8117647058823529,0.30980392156862746,0.8117647058823529,1.0,0.12156862745098039,0.0,0.0,0.058823529411764705,0.6235294117647059,0.7490196078431373,0.7490196078431373,0.8745098039215686,0.4980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.43529411764705883,0.7490196078431373,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.9372549019607843,0.0,0.0,0.0,0.6862745098039216,0.4980392156862745,0.24705882352941178,0.30980392156862746,1.0,0.058823529411764705,9
0.0,0.0,0.12156862745098039,0.6235294117647059,0.43529411764705883,0.0,0.0,0.0,0.0,0.0,0.8745098039215686,1.0,1.0,0.9372549019607843,0.058823529411764705,0.0,0.0,0.24705882352941178,1.0,0.43529411764705883,0.1843137254901961,1.0,0.43529411764705883,0.0,0.0,0.30980392156862746,1.0,0.6235294117647059,0.43529411764705883,1.0,0.24705882352941178,0.0,0.0,0.0,0.30980392156862746,0.8745098039215686,0.8745098039215686,1.0,0.24705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12156862745098039,0.0,0.0,0.0,0.24705882352941178,0.43529411764705883,0.43529411764705883,1.0,0.12156862745098039,0.0,0.0,0.0,0.30980392156862746,0.7490196078431373,1.0,0.7490196078431373,0.0,0.0,9
0.0,0.0,0.5607843137254902,1.0,0.6235294117647059,0.12156862745098039,0.0,0.0,0.0,0.0,1.0,0.8745098039215686,0.6862745098039216,0.6235294117647059,0.0,0.0,0.0,0.058823529411764705,1.0,0.5607843137254902,0.7490196078431373,0.9372549019607843,0.0,0.0,0.0,0.0,0.43529411764705883,0.9372549019607843,1.0,1.0,0.4980392156862745,0.0,0.0,0.0,0.0,0.6235294117647059,0.37254901960784315,1.0,0.6235294117647059,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.9372549019607843,0.5607843137254902,0.0,0.0,0.0,0.0,0.058823529411764705,0.43529411764705883,1.0,0.4980392156862745,0.0,0.0,0.0,0.37254901960784315,1.0,1.0,0.8745098039215686,0.058823529411764705,0.0,9
0.0,0.0,0.37254901960784315,1.0,1.0,0.6862745098039216,0.0,0.0,0.0,0.058823529411764705,1.0,0.4980392156862745,0.4980392156862745,1.0,0.37254901960784315,0.0,0.0,0.0,0.4980392156862745,1.0,0.8745098039215686,1.0,0.6862745098039216,0.0,0.0,0.0,0.058823529411764705,0.24705882352941178,0.1843137254901961,0.6235294117647059,0.4980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.5607843137254902,0.43529411764705883,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.8745098039215686,0.058823529411764705,0.0,0.0,0.0,0.24705882352941178,0.43529411764705883,0.6862745098039216,0.5607843137254902,0.0,0.0,0.0,0.0,0.5607843137254902,1.0,0.6235294117647059,0.058823529411764705,0.0,0.0,9
0.0,0.0,0.0,0.058823529411764705,0.5607843137254902,0.8745098039215686,0.43529411764705883,0.0,0.0,0.0,0.30980392156862746,0.8745098039215686,0.5607843137254902,0.4980392156862745,0.6235294117647059,0.0,0.0,0.12156862745098039,0.8745098039215686,1.0,0.6862745098039216,0.8117647058823529,0.1843137254901961,0.0,0.0,0.1843137254901961,1.0,1.0,1.0,1.0,0.30980392156862746,0.0,0.0,0.0,0.37254901960784315,0.43529411764705883,0.058823529411764705,0.6862745098039216,0.43529411764705883,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.8117647058823529,0.1843137254901961,0.0,0.0,0.0,0.0,0.0,0.37254901960784315,0.4980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.6235294117647059,0.0,0.0,0.0,9
0.0,0.0,0.37254901960784315,0.8745098039215686,0.9372549019607843,0.43529411764705883,0.0,0.0,0.0,0.1843137254901961,0.9372549019607843,0.37254901960784315,0.12156862745098039,0.8745098039215686,0.1843137254901961,0.0,0.0,0.24705882352941178,0.8117647058823529,0.0,0.058823529411764705,1.0,0.24705882352941178,0.0,0.0,0.0,0.6235294117647059,0.6862745098039216,0.5607843137254902,1.0,0.37254901960784315,0.0,0.0,0.0,0.058823529411764705,0.4980392156862745,0.6235294117647059,0.8745098039215686,0.30980392156862746,0.0,0.0,0.0,0.0,0.0,0.0,0.4980392156862745,0.6862745098039216,0.0,0.0,0.058823529411764705,0.7490196078431373,0.30980392156862746,0.0,0.6235294117647059,0.6862745098039216,0.0,0.0,0.0,0.43529411764705883,0.8117647058823529,1.0,1.0,0.24705882352941178,0.0,9
0.0,0.0,0.0,0.058823529411764705,0.5607843137254902,1.0,0.5607843137254902,0.0,0.0,0.0,0.058823529411764705,0.6862745098039216,0.8117647058823529,0.8745098039215686,0.7490196078431373,0.058823529411764705,0.0,0.058823529411764705,0.9372549019607843,0.8117647058823529,0.24705882352941178,1.0,1.0,0.1843137254901961,0.0,0.12156862745098039,1.0,1.0,1.0,0.9372549019607843,0.7490196078431373,0.0,0.0,0.0,0.43529411764705883,0.4980392156862745,0.24705882352941178,0.8745098039215686,0.30980392156862746,0.0,0.0,0.0,0.0,0.0,0.30980392156862746,0.8745098039215686,0.0,0.0,0.0,0.0,0.0,0.0,0.4980392156862745,0.5607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.7490196078431373,0.37254901960784315,0.0,0.0,9
